,Station Address,Latitude,Longitude,NomStation,CodeStation
75,198 Pettits Lane North Havering RM1 4NU,51.592501,0.181609,ROMFORD,F38
76,Bury Street Hillingdon HA4 7TW,51.5877053,-0.4360385,RUISLIP,G32
77,290 Cable Street Tower Hamlets E1 0BX,51.511092,-0.0551979,SHADWELL,F25
78,235 Old Street Hackney EC1V 9EY,51.5263551,-0.0842188,SHOREDITCH,F24
79,156-158 Main Road Bexley DA14 6NZ,51.4275416,0.0934685,SIDCUP,E40
80,126 Shaftesbury Avenue Westminster W1D 5ET,51.5107316,-0.1338589,SOHO,A24
81,17-19 High Street Ealing UB1 3HA,51.5109295,-0.3734415,SOUTHALL,G24
82,96 High Street Enfield N14 6BN,51.63199,-0.1275125,SOUTHGATE,A36
83,650 Honeypot Lane Harrow HA7 1JS,51.6039267,-0.2985821,STANMORE,G22
84,64 Stoke Newington Church Street Hackney N16 0AP,51.5622344,-0.0782851,STOKE NEWINGTON,F32
85,117 Romford Road Newham E15 4LY,51.5425347,0.0084198,STRATFORD,F21
86,31/33 Ewell Road Surbiton Kingston upon Thames KT6 6AF,51.3922092,-0.2984599,SURBITON,H39
87,43 St Dunstans Hill Sutton SM1 2JX,51.3683474,-0.2125448,SUTTON,H38
88,91 Trinity Road Wandsworth SW17 7SQ,51.4371185,-0.1617356,TOOTING,H35
89,49 St Loys Road Haringey N17 6UE,51.5929285,-0.0733843,TOTTENHAM,A33
90,30 South Road Richmond upon Thames TW2 5NT,51.4354168,-0.3474062,TWICKENHAM,H43
91,19 Belmont Road Sutton SM6 8TE,51.3624581,-0.1464848,WALLINGTON,H37
92,343 Forest Road Waltham Forest E17 5JR,51.589772249999996,-0.028743188604858,WALTHAMSTOW,F36
93,45 West Hill Wandsworth Wandsworth SW18 1RL,51.4567129,-0.2017571,WANDSWORTH,H33
94,591a Harrow Road Brent HA0 2EG,51.5517382,-0.3105844,WEMBLEY,G30
95,Wennington Road Havering RM13 9EE,51.5066546,0.217799,WENNINGTON,F40
96,325 West End Lane Camden NW6 1RR,51.5474556,-0.191058,WEST HAMPSTEAD,A41
97,210 Knight's Hill Lambeth SE27 0QA,51.42599625,-0.10554182848438101,WEST NORWOOD,H25
98,27 Commercial Road Tower Hamlets E1 1LD,51.515304799999996,-0.06918887176114738,WHITECHAPEL,F33
99,59a Pound Lane Brent NW10 2HH,51.5456526,-0.2376457,WILLESDEN,G28
100,87 Kingston Road Merton SW19 1JN,51.415549299999995,-0.19747044638707814,WIMBLEDON,H34
101,2 Snakes Lane Redbridge IG8 0BS,0.0,0.0,WOODFORD,F35
102,"2 Long Lane, Addiscombe, Croydon Croydon CR0 7AL",51.3857831,-0.06219307774071065,WOODSIDE,H28
